KEY,English,japanese(翻訳),翻訳率:93.04% (1044/1122)
TutC5T6Title,Lasergate,レーザーゲート,
TutC5T6A1,Find power switch,電源スイッチを探す,
TutC5T6A2,Deactivate,非アクティブ化,
TutC5T6A2Complete,"Crap not again. That specimen radiation shield should have been fixed already!\n\n[fff400]I better hurry down to [ff2400]Level B Med Bay[-] and shower it off ASAP,[-]\nbefore the radiation kills me.",勘弁してくれよ。あの標本放射線シールドはすでに修理されてるんじゃなかったのか!\n\n[fff400]とにかく急いで[ff2400]B階層の医療棟[-]に行ってシャワーを浴びないと。[-]\n放射能汚染で死ぬ前にな。,
TutC5T7Title,Go to Medbay,医療棟へ向かう,
TutC5T7A1,Go to Elevator,エレベータへ向かう,
TutC5T7A2,Go to Level B,B階層へ,
TutC5T8Title,Decontaminate,除染,
TutC5T8A1,Find Shower,シャワーを探す,
TutC5T8A1Complete,"[f98009][IDA][-]\n\nCheck your [fff400]Body Radiation:[-] top right number, next to the [ff2400]radiation symbol[-] at the top right of the screen.\n\nUse the shower as often as necessary to [fff400]bring it back to 0 again.[-]",[f98009][IDA][-]\n\n[fff400]身体に付着した放射性物質[-]は、画面右上にある[ff2400]放射能マーク[-]の左隣上側の数値で示されます。\n\n必要に応じてこまめにシャワーを浴びて[fff400]0に戻しておきましょう。[-],
TutC5T8A2,Use Shower,シャワーを浴びる,
TutC5T9Title,Medbay,医療棟,
TutC5T9A1,Look around,見回す,
TutC5T10Title,Medical Scanners,メディカル･スキャナ,
TutC5T10StartMessage,"[f98009][IDA][-]\n\nThe tech guys seem to have installed the latest medical scanners down here.\n\nYou may want to familiarize yourself with their functions for a second.\n\n[fff400]Just point at them[-] and, as always, [fff400]I'll show what they are good for\n in the upper right corner of the screen.[-]",[f98009][IDA][-]\n\n技術者達はここに最新の医療用スキャナを設置したようですね。\n\nできるだけ早くこれらの機能に慣れた方が良いでしょう。\n\n[fff400]これらに視線をあわせるだけで[-]、いつものように\n[fff400]画面右上にこれらが何に効くのかを私が表示しますよ。[-],
TutC5T10A1,Check Medical Scanners,医療用スキャナを確認する,
TutC5T11Title,Medical Station,メディカル･ステーション,
TutC5T11A1,Restore Health,体調を整える,
TutC5T11A1Complete,"[00dfff][Scientist]\n\nHey Chief. While you are down there, watch out for anything unusual.\nWe are getting strange measurements up here.\n\nWe have updated IDA with the appropriate instructions to handle this in a scientific way.[-]\n\nOk, I will watch out for...whatever...",[00dfff][科学者]\n\nああチーフ。 そっちにいる間、何か異常がないかよく見てくれないか。\n妙な測定結果が出てるんだ。\n\nIDAに科学的な方法で対処するための指示を更新しておいたよ。[-]\n\n了解、よく見ておくよ…なんでも…,
TutC5T12Title,Medical Closet,医療用クローゼット,
TutC5T12A1,Check Medical Locker,医療用クローゼットを調べる,
TutC5T12A1Complete,Maybe the tech guys left me a few medical supplies.\n[fff400]I better take them all[-].\n\nYou never know.,多分技術者が私に幾つかの医療用品を残したのだろう。\n[fff400]全部持っていったほうが良いな。[-]\n\n何が起こるかわからない。,
TutC5T12A2,Empty Medical Locker,医療用クローゼットを空にする,
TutC5T12A2Complete,[f98009][IDA][-]\n\nI am registering energy anomalies in the whole station.\n\n[fff400]We should check the Engine Room on level D.[-],[f98009][IDA][-]\n\nステーション全体にエネルギー異常を検知しました。\n\n[fff400]D階層にあるエンジンルームを調べるべきです。[-],
TutC5T13Title,Engine Room,エンジンルーム,
TutC5T13A1,Go to Engine Room,エンジンルームへ移動する,
TutC5T14Title,Check Engine Room,エンジンルームを調べる,
TutC5T14StartMessage,[f98009][IDA][-] I am registering an unknown material pattern in the container on the galery.,[f98009][IDA][-] 展望台のコンテナから、未知の素材パターンを検知しました。,
TutC5T14A1,Go to Container,コンテナへ行く,
TutC5T14A2,Open Container,コンテナを開ける,
TutC5T14A2Complete,Hm..Xeno Substrate...never heard of it. I have a bad feeling about this.\n\n[fff400]Anyway. I'll need to bring this to the lab.[-],ふむ…ゼノ基材…聞いたことが無いな。何か嫌な感じがするぞ。\n\n[fff400]とにかく、これを研究所に持っていこう。[-],
TutC5T14A3,Pick up Specimen,検体を取り出す,
TutC5T14A4,Exit Container,コンテナを終了,
TutC5T15Title,Fuel Tanks,燃料タンク,
TutC5T15StartMessage,[f98009][IDA][-]\n\nI have informed the Laboratory already.\nThey are waiting for the specimen.\n\nWe should also check the fuel tanks next to the door.\n\n[fff400]I am registering increasing energy fluctuations in this tank over there.[-],[f98009][IDA][-]\n\n研究所には既に連絡しました。\n彼らはその検体を持っています。\n\nドアの隣の燃料タンクも調べなくてはなりません。\n\n[fff400]そこの燃料タンクにエネルギー変動の増加を検知しました。[-],
TutC5T15A1,Go to Fuel Tank,燃料タンクへ行く,
TutC5T15A1Complete,"[f98009][IDA][-] Chief, the energetic instability destroyed the core of the station.\n\n[fff400]We need to quickly replace it![-]",[f98009][IDA][-] チーフ、不安定なエネルギーにより、ステーションのコアが破壊されました。\n\n[fff400]急いで交換する必要があります![-],
TutC5T16Title,Pick up Spare Core,予備のコアを取り出す,
TutC5T16StartMessage,"[f98009][IDA][-]\n\nI've located a spare core in the container above you!\n\nYou might need to activate your Jetpack [ff2400](J)[-]\nas the gravity generators are offline.\n\nUse W,A,S,D to fly, SPACE / C to go up and down and [ff2400]Q/E to rotate[-].\n\nMake sure your helmet is closed.\nThe [fff400]Helmet-Symbol in the lower left corner[-] should light up.",[f98009][IDA][-]\n\n頭上にあるコンテナ内に予備のコアを発見しました!\n\n重力制御装置が止まっている時は、ジェットパックを有効化[ff2400](J)[-]しなければ動けません。\n\nW、A、S、Dで飛び、SPACE と C で上下、[ff2400]QとEで回転[-]します。\n\nヘルメットを閉じていることを確認してください。\n[fff400]左下にあるヘルメットアイコン[-]が点灯しているはずです。,
TutC5T16A1,Find Spare Core,予備のコアを探す,
TutC5T16A1Complete,[f98009][IDA][-] Pick up the Core from the container please.,[f98009][IDA][-]コンテナから、コアを取り出しましょう。,
TutC5T16A2,Open Container,コンテナを開ける,
TutC5T16A2Complete,[f98009][IDA][-] Move the Core to your toolbar.,[f98009][IDA][-]ツールバーへコアを移動しましょう。,
TutC5T16A3,Equip Core,コアを装備,
TutC5T16A3Complete,[f98009][IDA][-] Close the Container inventory.,[f98009][IDA][-]コンテナのインベントリを閉じます。,
TutC5T16A4,Close Container,コンテナを閉じる,
TutC5T17Title,Install Spare Core,予備のコアをはめ込む,
TutC5T17StartMessage,[f98009][IDA][-]\n\nNow [fff400]find the orange markers on the ceiling.[-]\n\n Then [fff400]highlight the toolbar slot[-] where you put the core and\n[fff400]place it in the MARKED LOCATION[-] by clicking [ff2400]Left Mouse Button.[-],[f98009][IDA][-]\n\n次に、[fff400]天井のオレンジ色の部分を見つけてください。[-]\n\n そしてコアを置いた[fff400]ツールバースロットを選び[-]\n [ff2400]左マウスボタン[-]を使って[fff400]示された場所に設置[-]してください。,
TutC5T17A1,Place Core,コアを設置する,
TutC6Title,Anomalous Anomalies,異常事態,
TutC6Complete,[f98009][b][IDA][/b] Enemy signatures materalizing in Hangar A![-]\n\nOh..this day is getting better and better...not.\n\n[f98009][b][IDA][/b] Always aim for the head![-]\n\n ...,[f98009][b][IDA][/b] 敵の痕跡が格納庫Aに突如現れました![-]\n\nうぁ…今日という日は厄介ごとのバーゲンセールだなおい。\n\n[f98009][b][IDA][/b] 頭を狙ってください![-]\n\n …,
TutC6T1Title,Deliver Specimen,検体を運ぶ,
TutC6T1A1,Go to Lab,研究所へ,
TutC6T1A1Complete,[00dfff][Scientist][-]\n\nHey Chief..what are you doing down there?\nWe just lost a full sample and need to manually fix the Laser Gate!\nOur lab tech is costly!\n\n[fff400]Put the specimen in the locker please![-],[00dfff][科学者][-]\n\nおいチーフ…そんなところで何してるんだ?\n完全なサンプルを失って、手動でレーザーゲートを修復しなきゃならなくなったんだ!\n研究費用が高くつく!\n\n[fff400]検体をロッカーに入れてくれ![-],
TutC6T2Title,Laboratory,研究室,
TutC6T2A1,Go to Sample Locker,サンプルロッカーへ移動する,
TutC6T2A1Complete,[f98009][IDA][-]\n\n[ff2400]ALERT! Hull breach. Enemy lifeforms detected.[-]\n\nQuick - turn the the right and [fff400]grab a weapon from the red weapon locker![-],[f98009][IDA][-]\n\n[ff2400]警告! 船体侵害。 敵の生命体が検出されました。[-]\n\nすぐに – 右の[fff400]赤い武器ロッカーから武器を取ってください![-],
TutC6T3Title,Hull Breach,船体侵害,
TutC6T3A1,Grab Shotgun and Ammo,ショットガンと弾薬を手に入れる,
TutC6T3A1Complete,I better grab ANYTHING what's in there...,取れるものはなんでも持っていこう…,
TutC6T3A2,Take everything,全部取る,
TutC6T3A2Complete,...and [fff400]move the Shotgun to a free slot in my toolbar[-].,…[fff400]ツールバーの空きスロットにショットガンを追加[-]しておく。,
TutC6T3A3,Equip Shotgun,ショットガンを装備する,
TutC6T3A3Complete,[f98009][IDA][-]\n\n[ff2400]ATTENTION! Several agressive creatures just materialized on this level.[-]\n\nExit the inventory and select the slot with the shotgun either with the [ff2400]number button on your keyboard[-] or with the [ff2400]mousewheel[-]!\n\nUse [ff2400]Left Mouse click[-] to shoot the weapon.[-],[f98009][IDA][-]\n\n[ff2400]注意してください! 数匹の攻撃的生物がこの階層に現れました。[-]\n\nインベントリを閉じ、[ff2400]対応する数字キー[-] か [ff2400]マウスホイール[-]で\nショットガンのスロットを選択してください!\n\n[ff2400]左クリック[-]で武器を撃ちます。[-],
TutC6T4Title,Shotgun action,ショットガンアクション,
TucC6T4A1,Exit Closet,クローゼットを閉める,
TutC6T5Title,Clear Lab Level,研究所の階層を片付ける,
TutC6T5A1,Defend yourself,身を守る,
TutC6T5A1Complete,"[f98009][IDA][-]\n\n[fff400]Always loot the dead corpes (F), as they might hold useful stuff![-]\n\nUse medicals to heal open wounds and other injuries when you have the time to!\n\nConsider going to the MedLab on level B to fix more serious injuries\n\nMake sure your weapon is always fully loaded. Use [ff2400](R)[-] to reload.\n\nDo not forget to check your FOOD-bar once in a while!",[f98009][IDA][-]\n\n[fff400]死体を調べる[ff2400](F)[-]と、常に有用なものが見つかります![-]\n\n開放創やその他の怪我を癒やすため、医療機器を利用してください!\n\nより重大な怪我の場合はB階層の医療棟へ行くことを考慮してください。\n\n常に武器はフルロードしておきましょう。リロードは[ff2400](R)[-]です。\n\n食料ゲージにも注意するのを忘れないでください!,
TutC6T6Title,Exit Laboratory,研究室を後にする,
TutC6T6A1,Leave,離れる,
TutC6T6A1Complete,[f98009][IDA][-]\n\nWe need to [fff400]go the TechCorner on level 1[-].\nYou need a better suit and stronger weapons.\n\n[ff2400]Watch out for more enemies on your way up.[-],[f98009][IDA][-]\n\n[fff400]1階のTechCornerに行く[-]必要があります。\nあそこなら強力な武器とスーツが手に入ります。\n\n[ff2400]より多くの敵が待ち構えているので気をつけてください。[-],
TutC6T7Title,Use Elevator,エレベーターを使う,
TutC6T7A1,Elevator,エレベーター,
TutC6T8Title,Go to TechCorner,TechCornerへ行く,
TutC6T8A1,Use Elevator,エレベーターを利用する,
TutC6T9Title,Gear up,準備,
TutC6T9StartMessage,[f98009][IDA][-]\n\nExplosions all over the station!\n\n[fff400]Check the Armor Locker and the Closet in the Tech Corner![-]\n\nDoor code for Tech Corner is [ff2400]2222[-].,[f98009][IDA][-]\n\nステーションのあちこちで爆発が起きています!\n\n[fff400]テックコーナーのアーマーロッカーとクローゼットを調べてください![-]\n\nテックコーナーのドアのコードは[ff2400]2222[-]です。,
TutC6T9A1,Go To Armor Locker,アーマーロッカーへ移動,
TutC6T9A2,Equip Heavy Suit,ヘビースーツを装備する,
TutC6T9A2Complete,"[f98009][IDA][-]\n\nSwap your medium suit with the HEAVY SUIT.\n\nThen [ff2400]add ALL THE AVAILABLE BOOSTERS to the suit booster slots![-]\n\nHave a look at how the BOOSTERS change the ARMOR STATS on the right screen,\nbut DO NOT leave one of the Boosters behind!",[f98009][IDA][-]\n\nミディアムスーツとヘビースーツを交換しましょう。\n\nそして[ff2400]全てのブースターをブースタースロットにセットしてください![-]\n\nブースターによる変化は画面右のアーマー性能欄で確認出来ます。\n一つのブースターも残して行かないでください!,
TutC6T9A3,Grab Equipment,装備を手に入れる,
TutC6T9A4,Empty Closet,クローゼットを空にする,
TutC6T9A4Complete,"Awesome. The Assault Rifle is good for mid range combat.\n\n[fff400]I should use it for now,[-] but also put the Sniper on my toolbar as well.",こりゃ良い、アサルトライフルはミドルレンジでの戦闘に適している。\n\n[fff400]こいつを使うことにしよう、[-]同様にスナイパーライフルもツールバーへ追加しておこう。,
TutC6T9A5,Equip new weapons,新しい武器を装備,
TutC6T9bTitle,Leave TechCorner,テックコーナーを出る,
TutC6T9bA1,Use door,ドアを開ける,
TutC6T10Title,Clear Level 1,1階を片付ける,
TutC6T10StartMessage,[f98009][IDA][-] ALERT! Enemy soldiers detected!,[f98009][IDA][-]ALERT! 敵兵士が検出されました!,
TutC6T10A1,Kill Enemy Soldiers,敵兵士を殺す,
TutC6T10A1Complete,"[f98009][IDA][-]\n\nThe station AI is reporting more hull breaches and enemy activity.\n\nWe need to leave the station.\n\nUnfortunately the teleporter has a malfunction.\nWe need to do this the old way.\n\n[fff400]We need to go to Hangar B and then to Hangar A and use one of the shuttles.[-]\n\n[ff2400]FIRST: Go to Hangar B.[-]\n\n[ff2400]Use the elevator next to the Bistro.[-]\n\nDon't forget to loot, heal and eat while\nyou have the time to.",[f98009][IDA][-]\n\nステーションのAIはより多くの船体の破損や、敵の活動を報告しています。\n\nステーションを離れなければなりません。\n\n残念ながら、テレポーターは故障しています。\n古い方法を使わざるを得ません。\n\n[fff400]格納庫Bに降りてから格納庫Aに行き、シャトルの一つを使います。[-]\n\n[ff2400]まず、格納庫Bに行きます。[-]\n\n[ff2400]食堂隣のエレベータを使ってください。[-]\n\n時間があるうちに戦利品の回収や食事、回復をお忘れなく。,
TutC6T11Title,Go to Hangar B,格納庫Bへ移動する,
TutC6T11A1,Descend to Hangar B,格納庫Bに降りる,
TutC6T12Title,Elevated Position,高い位置取り,
TutC6T12A1,Break Windows,窓を壊す,
TutC6T12A1Complete,[f98009][IDA][-]\n\nThe Hangar is filled with unknown creatures.\n\nSuggestion: Shoot at the damaged glass to break it and\nuse the elevated position with ranged weapons to your advantage.\n\n[ff2400]RIGHT Mouse Button activates the weapon zoom![-],[f98009][IDA][-]\n\n格納庫は未知の生物で満たされています。\n\n提案します。壊れかけの窓を撃ち壊して、高所から遠距離武器を使いましょう。\n\n[ff2400]右クリックで武器のズーム機能を有効化します![-],
TutC6T13Title,Clear Hangar B,格納庫Bを片付ける,
TutC6T13A1,Kill All Enemy Creatures,全ての敵とクリーチャーを殲滅,
TutC6T13A1Complete,"[f98009][IDA][-]\n\nWell done. Did you take extra lessons?\n\nWhen you've cleared the Hanger, let's [fff400]check the container for additional stuff.[-]",[f98009][IDA][-]\n\nお見事です。課外訓練を受けたのですか?\n\n格納庫が片付いたら、[fff400]もっと何かないかコンテナを見てみましょうか。[-],
TutC6T14Title,Find ammo,弾薬を探す,
TutC6T14A1,Go To Container,コンテナへ移動する,
TutC6T14A2,Open Container,コンテナを開ける,
TutC6T14A2Complete,[f98009][IDA][-]\n\nYou should grab everything inside. Directly move the new weapons to your toolbar.\n\nNote: The suit you are wearing will make you walk SLOWER depending on the type\nand the boosters you have equipped.\n\nThe weapon in your hands will slow you down you as well.\n\nHolstering weapons [ff2400](0)[-] when not in use will make you walk faster again.,[f98009][IDA][-]\n\n全部持っていくべきです。新しい武器を直接ツールバーに移してください。\n\n注:スーツはスーツタイプと装備中のブースター次第で歩みが遅くなります。\n\n同様に武器を手に持っていても遅くなります。\n\n銃を収める[ff2400](0)[-]と、また速く歩けるようになります。,
TutC6T14A3,Empty Container,コンテナを空にする,
TutC6T14A4,Exit Container,コンテナを後にする,
TutC6T15Title,Passageway,通路,
TutC6T15StartMessage,[f98009][IDA][-] Hangar doors are locked. We need to use the passageway around them.,[f98009][IDA][-]格納庫ドアがロックされています。 迂回通路を通る必要があります。,
TutC6T15A1,Use Passageway,通路を使う,
TutC6T15A2,Go To Hangar A,格納庫Aに行く,
TutC7Title,Escape,脱出,
TutC7Complete,You managed to escape the station and survived - but that's just the start. To be continued...in the next major update!\n\n[fff400]Drop us your feedback over here: empyriononline.com/forums ![-]\n\nThanks a lot in advance! :),あなたはステーションを脱出し、生き残ることに成功した…が、それはほんの始まり。この続きは…次のメジャーアップデートで!\n\n[fff400]フィードバックはこちら→ empyriononline.com/forums ![-]\n\nどうぞよろしくお願いいたします!(^_^),
TutC7T1Title,Hangar A,格納庫A,
TutC7T1A1,Be cautious,用心,
TutC7T2Title,Clear Hangar A,格納庫Aを片付ける,
TutC7T2StartMessage,I need to get to the [fff400]Hangar Control on the other side[-].\nFirst I need to deal with these creatures.,[fff400]格納庫制御室は向こう側[-]か。\nまずこいつらをなんとかしなきゃならんな。,
TutC7T2A1,Kill all Enemies and Creatures,すべての敵とクリーチャーを殲滅しろ,
TutC7T2A1Complete,[f98009][IDA][-] Bad news. There are no vessels left.\n Good news: the station's virtual blueprint factory is still working!,[f98009][IDA][-]悪いニュースです。残った船はありません。\n 良いニュースは、ステーションの仮想設計図工場がまだ稼働しています!,
TutC7T3Title,Blueprint Libary,設計図ライブラリ,
TutC7T3StartMessage,"[f98009][IDA][-]\n\nTo access the factory, first use [ff2400]F2 to open the blueprint libary[-].",[f98009][IDA][-]\n\n工場にアクセスするには、まず[ff2400]F2で設計図ライブラリを開きます[-]。,
TutC7T3A1,Access Blueprint Libary,設計図ライブラリへアクセス,
TutC7T3A1Complete,[f98009][IDA][-] Now select the [ff2400]SV_Prefab_Tier1c[-] from the list on the left and click TO FACTORY.\n Exit the factory screen when you are done. \n\n[fff400]We need to find some materials.[-],[f98009][IDA][-] 次に左側のリストから[ff2400]SV_Prefab_Tier1c[-]を選んで\n「工場へ」をクリックしてください。 それが済んだら工場画面を出ましょう。\n\n[fff400]いくらかの資材を探す必要があります。[-],
TutC7T3A2,Exit Blueprint Libary,設計図ライブラリから離れる,
TutC7T4Title,Check for material,材料を確認する,
TutC7T4StartMessage,[f98009][IDA][-] Check the container [fff400]next to the passageway doors[-] and grab any materials you can get a hold of.,[f98009][IDA][-] [fff400]通路のドア付近[-]のコンテナを調べて、素材があったら持っていけるだけ持っていきましょう。,
TutC7T4A1,Check Container,コンテナをチェック,
TutC7T4A1Complete,[f98009][IDA][-] Access Code is [ff2400]2121[-].,[f98009][IDA][-]アクセスコードは[ff2400]2121[-]です。,
TutC7T4A2,Open Container | Code 2121,コンテナを開ける | コードは2121,
TutC7T4A2Complete,[f98009][IDA][-] Take everything!,[f98009][IDA][-] 全て持っていきましょう!,
TutC7T4A3,Empty Container,コンテナを空にする,
TutC7T4A4,Close Container,コンテナを閉じる,
TutC7T4A4Complete,[f98009][IDA][-] Check the [fff400]container on the other side[-] and move anything you find to your inventory.,[f98009][IDA][-][fff400]反対側のコンテナ[-]も調べて、見つけたものをインベントリへ移してください。,
TutC7T5Title,Check second Container,次のコンテナをチェック,
TutC7T5A1,Go to Container,コンテナへ行く,
TutC7T5A1Complete,[f98009][IDA][-] Access Code is [ff2400]1212[-].,[f98009][IDA][-]アクセスコードは[ff2400]1212[-]です。,
TutC7T6Title,Materials Container,材料コンテナ,
TutC7T6A1,Open Container | Code 1212,コンテナを開ける | コード 1212,
TutC7T6A1Complete,[f98009][IDA][-] That should be enough. Take it all!,[f98009][IDA][-]備えあって憂い無し。全部持っていきますよ!,
TutC7T6A2,Empty Container,コンテナを空にする,
TutC7T6A3,Close Container,コンテナを閉じる,
TutC7T7Title,Blueprint Factory,設計図ファクトリー,
TutC7T7StartMessage,[f98009][IDA][-]\n\nOpen the blueprint factory again [ff2400](F2)[-].,[f98009][IDA][-]\n\nもう一度、設計図のファクトリーを開いてください[ff2400](F2)[-]。,
TutC7T7A1,Access Blueprint Factory,設計図のファクトリーを開く,
TutC7T7A1Complete,"[f98009][IDA][-]\n\nNow [fff400]FIRST drop the DEVICES[-] into the intake.\nEach prefabricated device will [fff400]reduce the total production time[-]!\n\nThen drag and drop the ingots to the intake,\n[00B25C]until all material requirements are green[-].\n\nUse [ff2400]SHIFT + Left-Mouse button[-] to quickly move the items to the intake.\n\nClick [ff2400]START PRODUCTION[-] process and [fff400]exit the window.[-]",[f98009][IDA][-]\n\n[fff400]まずデバイス類を下の投入口に投入します[-]。\n各製作済みデバイスは[fff400]総作成時間を短縮します[-]!\n\n[00B25C]全ての材料要件が緑色になるまで[-]\nインゴットを投入口にドラッグ&ドロップしてください。\n\n[ff2400]SHIFT + 左クリック[-]すると、手早く投入できます。\n\n[ff2400]生産開始[-]をクリックして、[fff400]ウィンドウを閉じてください。[-],
TutC7T7A2,Exit Blueprint Factory,設計図ファクトリーを後にする,
TutC7T7A2Complete,[f98009][IDA][-]\n\nWe need to go upstairs to the Hangar Control.,[f98009][IDA][-]\n\n上階の格納庫制御室に行く必要があります。,
TutC7T8Title,Go to Hangar Control,格納庫制御室へ移動する,
TutC7T8A1,Use Passageway,通路を使う,
TutC7T8A1Complete,..I wonder if I am the only human left in this station..,…私はこのステーションに残った、ただ一人の人間なのだろうか…,
TutC7T8A2,Enter Hangar Control,格納庫制御室に入る,
TutC7T9Title,Hangar Control,格納庫制御室,
TutC7T9StartMessage,[f98009][IDA][-] We need to open the Hangar doors. Use the levers on the wall.,[f98009][IDA] [-]格納庫扉を開ける必要があります。その壁にあるレバーをOnにしてください。,
TutC7T9A1,Use Lever,レバーを使う,
TutC7T9A2,Open Hangar door,格納庫扉を開ける,
TutC7T9A2Complete,Oops...should hangar doors sound like this when opening?,おおっと…格納庫扉が開く音はこんなのじゃあないよな?,
TutC7T10Title,Wave 2,Wave 2,
TutC7T10StartMessage,[f98009][IDA][-]\n\n[ff2400]New wave of creatures materializing. Hangar Turrets are offline![-]\n\nWe need to find the override switch!\n\n[fff400]I have marked the Airlock and the Turret Access Hatch on your screen.[-],[f98009][IDA][-]\n\n[ff2400]クリーチャー発生の波がまた来ました。格納庫のタレットはオフラインです![-]\n\nオーバーライドスイッチを見つけなければなりません!\n\n[fff400]エアロック及び、タレットアクセスハッチを画面内に表示しました。[-],
TutC7T10A1,Go To Airlock,エアロックへ移動する,
TutC7T10A1Complete,[f98009][IDA][-] Make sure you have closed your Helmet [ff2400](U)[-] and activated your Jetpack [ff2400](J)[-] BEFORE using the outer airlock door.\n\nTip: Use [ff2400]Q and E buttons[-] to ROLL.,[f98009][IDA][-] エアロックの外部ドアを開ける前に、ヘルメットを閉じ[ff2400](U)[-]、\nジェットパックを有効化[ff2400](J)[-]しておきましょう。\n\nヒント: [ff2400]Q と E[-]で回転,
TutC7T10A2,Find Turret Hatch,タレットハッチを探す,
TutC7T10A2Complete,[f98009][IDA][-] Open the shutter door and use the override!\n\nThe turrets will reinitialize after a few seconds and fight the creatures.,[f98009][IDA][-] シャッター扉を開き、オーバーライドスイッチを使ってください。\n\nタレットは数秒で初期化し、クリーチャーを攻撃します。,
TutC7T10A,Override,オーバーライド,
TutC7T10A3Complete,[f98009][IDA][-] Let's go back to Hangar Control!,[f98009][IDA][-]格納庫制御室へ戻りましょう!,
TutC7T11Title,Back to Airlock,エアロックへ戻る,
TutC7T11A1,Go To Airlock,エアロックへ移動,
TutC7T11A1Complete,"[f98009][IDA][-]\n\nAs soon as the Hangar is cleared again, let's see if we can\nmanually blast open the hangar door on the right side of the bay.\n\nDeactivate your jetpack as soon as you\nsee the [ff2400]Gravity indicator[-] lighting up again.",[f98009][IDA][-]\n\n格納庫内の掃除が終わったら直ぐに、右側の格納庫扉を\n手動爆破できるか試してみましょう.\n\n再び[ff2400]重力インジケータ[-]が点灯したら、すぐジェットパックを無効化してください。,
TutC7T12Title,Safe Spot,安全地帯,
TutC7T12A1,Malfunction,故障,
TutC7T12A1Complete,[f98009][IDA][-]\n\n[ff2400]Attention! The Turrets have a targeting malfunction.[-]\n\n[fff400]Stay away from the Hangar floor[-] and go up to the Hangar Control instead.,[f98009][IDA][-]\n\n[ff2400]Attention! タレットの標的設定が誤動作しています。[-]\n\n[fff400]格納庫を避けて[-]、代わりに制御室に向かいましょう。,
TutC7T12A2,Go to Hangar Control,格納庫制御室へ移動,
TutC7T12A2Complete,I better [ff2400]not break the security glass windows[-] until the turrets cease fire!,タレットが射撃をやめるまで[ff2400]防護ガラスは壊さない[-]方がいいな!,
TutC7T12A3,Check Cargo Index,カーゴインデックスをチェック,
Tutc7T13Title,Explosives Needed,必要な爆薬,
TutC7T13StartMessage,[f98009][IDA][-] I scanned the cargo index.\nOne of the containers below the Hangar Control is holding Explosives.\n\nLet's go downstairs [ff2400]as soon as the fight calms down.[-],[f98009][IDA][-] 貨物目録をスキャンしました。\n制御室の下にあるコンテナの一つに、爆弾が入っています。\n\n[ff2400]戦闘が落ち着き次第[-]降りましょう。,
TutC7T13A1,Go Downstairs,階段を降りる,
TutC7T13A1Complete,[f98009][IDA][-] The turrets have just exploded.\n\n Better be careful and equip a weapon - in case some creatures are still around.,[f98009][IDA][-] タレットは爆発しました。\n\n 慎重に、武器を持ったほうが良いでしょう…まだ生き残りがいるかもしれません。,
TutC7T14Title,Explosives found,爆弾発見,
TutC7T14A1,Grab Explosives,爆弾を拾う,
TutC7T14A1Complete,[f98009][IDA][-]\n\nContainer Access Code 6548,[f98009][IDA][-]\n\nコンテナのアクセスコードは 6548 です。,
TutC7T14A2,Empty Container | Code 6548,コンテナを空にする | コード 6548,
TutC7T14A2Complete,[f98009][IDA][-] Put the explosives to your toolbar.\n Go to the Hangar door and place a charge with [ff2400]Left Mouse click[-].\n [ff2400]Step back[-] and wait until it goes off. Repeat if the door is not destroyed!,[f98009][IDA][-] ツールバーに爆弾を置いてください。\n 格納庫扉に近づき、[ff2400]左クリック[-]で爆弾を設置してください。\n [ff2400]後ろに下がって[-] 爆発するまで待ちましょう。 扉が壊れていなければもう一度!,
TutC7T15Title,Blast Hangardoor,格納庫の扉を吹き飛ばす,
TutC7T15A1,Go To Marker,マーカーへ向かう,
TutC7T15A2,Set off Explosives,爆弾を仕掛ける,
TutC7T15A2Complete,Some fresh air for the Hangar...ehm...or no air at all..phew...,格納庫の風通しがよく…うーん…そんなものはなかったな、はぁ…,
TutC7T16Title,Spawn Escape Vessel,脱出用宇宙船を出す,
TutC7T16StartMessage,[f98009][IDA][-] The escape vessel should be ready to spawn any second.\n\nOpen the Factory again [ff2400](F2)[-].,[f98009][IDA][-] 脱出用宇宙船は生成準備が出来ているはずです。\n\n工場を開いて[ff2400](F2)[-]みましょう。,
TutC7T16A1,Access Blueprint Factory,設計図へアクセス,
